SALARY GRADE,BASIC PAY,remarks,,,,,,,,,,,,,,,,
SG-1 STEP-1,13530,13774.05,,,,,,,,,,,,,,,,
SG-1 STEP-2,13633,13865.2,,,,,,,,,,,,,,,,
SG-1 STEP-3,13748,13966.98,,,,,,,,,,,,,,,,
SG-1 STEP-4,13862,14067.87,,,,,,,,,,,,,,,,
SG-1 STEP-5,13979,14171.41,,,,,,,,,,,,,,,,
SG-1 STEP-6,14095,14274.07,,,,,,,,,,,,,,,,
SG-1 STEP-7,14213,14378.5,,,,,,,,,,,,,,,,
SG-1 STEP-8,14331,14482.93,,,,,,,,,,,,,,,,
SG-2 STEP-3,14593,14714.8,,,,,,,,,,,,,,,,
SG-2 STEP-7,15047,15116.59,,,,,,,,,,,,,,,,
SG-2 STEP-8,15161,15217.48,,,,,,,,,,,,,,,,
SG-3 STEP-1,15265,15309.52,,,,,,,,,,,,,,,,
SG-3 STEP-2,15384,15414.84,,,,,,,,,,,,,,,,
SG-3 STEP-3,15501,15518.38,,,,,,,,,,,,,,,,
SG-3 STEP-4,15621,15624.58,,,,,,,,,,,,,,,,
SG-3 STEP-5,15741,15730.78,,,,,,,,,,,,,,,,
SG-3 STEP-7,15984,15945.84,,,,,,,,,,,,,,,,
SG-3 STEP-8,16105,16052.92,,,,,,,,,,,,,,,,
SG-4 STEP-1,16209,16144.96,,,,,,,,,,,,,,,,
SG-4 STEP-2,16334,16255.59,,,,,,,,,,,,,,,,
SG-4 STEP-3,16460,16367.1,,,,,,,,,,,,,,,,
SG-4 STEP-4,16586,16478.61,,,,,,,,,,,,,,,,
SG-4 STEP-5,16714,16591.89,,,,,,,,,,,,,,,,
SG-4 STEP-6,16841,16704.28,,,,,,,,,,,,,,,,
SG-4 STEP-7,16971,16819.33,,,,,,,,,,,,,,,,
SG-4 STEP-8,17101,16934.38,,,,,,,,,,,,,,,,
SG-6 STEP-1,18255,17955.67,,,,,,,,,,,,,,,,
SG-6 STEP-2,18396,18080.46,,,,,,,,,,,,,,,,
SG-6 STEP-3,18537,18205.24,,,,,,,,,,,,,,,,
SG-6 STEP-8,19261,18845.98,,,,,,,,,,,,,,,,
SG-7 STEP-1,19365,18938.02,,,,,,,,,,,,,,,,
SG-7 STEP-2,19514,19069.89,,,,,,,,,,,,,,,,
SG-7 STEP-3,19663,19201.75,,,,,,,,,,,,,,,,
SG-8 STEP-1,20534,19972.59,,,,,,,,,,,,,,,,
SG-8 STEP-2,20720,20137.2,,,,,,,,,,,,,,,,
SG-8 STEP-3,20908,20303.58,,,,,,,,,,,,,,,,
SG-8 STEP-4,21096,20469.96,,,,,,,,,,,,,,,,
SG-8 STEP-5,21287,20638.99,,,,,,,,,,,,,,,,
SG-8 STEP-6,21479,20808.91,,,,,,,,,,,,,,,,
SG-8 STEP-7,21674,20981.49,,,,,,,,,,,,,,,,
SG-8 STEP-8,21870,21154.95,,,,,,,,,,,,,,,,
SG-9 STEP-1,22219,21463.81,,,,,,,,,,,,,,,,
SG-9 STEP-2,22404,21627.54,,,,,,,,,,,,,,,,
SG-9 STEP-3,22591,21793.03,,,,,,,,,,,,,,,,
SG-9 STEP-4,22780,21960.3,,,,,,,,,,,,,,,,
SG-9 STEP-5,22971,22129.33,,,,,,,,,,,,,,,,
SG-9 STEP-6,23162,22298.37,,,,,,,,,,,,,,,,
SG-9 STEP-7,23356,22470.06,,,,,,,,,,,,,,,,
SG-9 STEP-8,23551,22642.63,,,,,,,,,,,,,,,,
SG-10 STEP-1,24381,23295.6,,,,,,,,,,,,,,,,
SG-10 STEP-2,24585,23449.06,,,,,,,,,,,,,,,,
SG-10 STEP-3,24790,23603.28,,,,,,,,,,,,,,,,
SG-11 STEP-1,28512,26403.15,,,,,,,,,,,,,,,,
SG-11 STEP-2,28796,26616.79,,,,,,,,,,,,,,,,
SG-11 STEP-3,29085,26834.19,,,,,,,,,,,,,,,,
SG-11 STEP-4,29377,27053.84,,,,,,,,,,,,,,,,
SG-11 STEP-5,29673,27276.51,,,,,,,,,,,,,,,,
SG-11 STEP-6,29974,27502.94,,,,,,,,,,,,,,,,
SG-11 STEP-7,30278,27731.63,,,,,,,,,,,,,,,,
SG-11 STEP-8,30587,27964.07,,,,,,,,,,,,,,,,
SG-12 STEP-1,30705,28052.83,,,,,,,,,,,,,,,,
SG-12 STEP-2,30989,28266.47,,,,,,,,,,,,,,,,
SG-12 STEP-3,31277,28483.12,,,,,,,,,,,,,,,,
SG-12 STEP-4,31568,28702.03,,,,,,,,,,,,,,,,
SG-12 STEP-5,31863,28923.94,,,,,,,,,,,,,,,,
SG-12 STEP-6,32162,29148.86,,,,,,,,,,,,,,,,
SG-12 STEP-7,32464,29376.04,,,,,,,,,,,,,,,,
SG-12 STEP-8,32770,29606.23,,,,,,,,,,,,,,,,
SG-13 STEP-1,32870,29681.46,,,,,,,,,,,,,,,,
SG-13 STEP-2,33183,29916.91,,,,,,,,,,,,,,,,
SG-13 STEP-3,33499,30154.62,,,,,,,,,,,,,,,,
SG-13 STEP-4,33819,30395.34,,,,,,,,,,,,,,,,
SG-13 STEP-5,34144,30639.82,,,,,,,,,,,,,,,,
SG-13 STEP-6,34472,30886.56,,,,,,,,,,,,,,,,
SG-13 STEP-7,34804,31136.31,,,,,,,,,,,,,,,,
SG-13 STEP-8,35141,31389.81,,,,,,,,,,,,,,,,
SG-14 STEP-1,35434,31610.23,,,,,,,,,,,,,,,,
SG-14 STEP-2,35794,31881.04,,,,,,,,,,,,,,,,
SG-14 STEP-3,36258,32230.08,,,,,,,,,,,,,,,,
SG-14 STEP-4,36528,32433.19,,,,,,,,,,,,,,,,
SG-14 STEP-5,36900,32713.02,,,,,,,,,,,,,,,,
SG-14 STEP-6,37278,32997.38,,,,,,,,,,,,,,,,
SG-14 STEP-7,37662,33286.24,,,,,,,,,,,,,,,,
SG-15 STEP-1,38413,33828.07,,,,,,,,,,,,,,,,
SG-15 STEP-2,38810,34109.15,,,,,,,,,,,,,,,,
SG-15 STEP-3,39212,34393.76,,,,,,,,,,,,,,,,
SG-15 STEP-4,39619,34681.91,,,,,,,,,,,,,,,,
SG-15 STEP-5,40030,34972.91,,,,,,,,,,,,,,,,
SG-15 STEP-6,40446,35267.43,,,,,,,,,,,,,,,,
SG-15 STEP-8,41296,35869.23,,,,,,,,,,,,,,,,
SG-16 STEP-1,41616,36095.79,,,,,,,,,,,,,,,,
SG-16 STEP-2,42052,36404.48,,,,,,,,,,,,,,,,
SG-16 STEP-3,42494,36717.42,,,,,,,,,,,,,,,,
SG-16 STEP-4,42941,37033.89,,,,,,,,,,,,,,,,
SG-16 STEP-5,43394,37354.62,,,,,,,,,,,,,,,,
SG-16 STEP-6,43852,37678.88,,,,,,,,,,,,,,,,
SG-16 STEP-7,44317,38008.1,,,,,,,,,,,,,,,,
SG-16 STEP-8,44786,38340.15,,,,,,,,,,,,,,,,
SG-17 STEP-1,45138,37084.77,,,,,,,,,,,,,,,,
SG-17 STEP-2,45619,37409.28,,,,,,,,,,,,,,,,
SG-17 STEP-3,46105,37737.17,,,,,,,,,,,,,,,,
SG-17 STEP-4,46597,38069.1,,,,,,,,,,,,,,,,
SG-17 STEP-5,47095,38405.09,,,,,,,,,,,,,,,,
SG-17 STEP-6,47599,38745.12,,,,,,,,,,,,,,,,
SG-17 STEP-7,48109,39089.2,,,,,,,,,,,,,,,,
SG-17 STEP-8,48626,39438.01,,,,,,,,,,,,,,,,
SG-18 STEP-1,49015,39700.45,,,,,,,,,,,,,,,,
SG-18 STEP-2,49542,40056,,,,,,,,,,,,,,,,
SG-18 STEP-3,50077,40416.94,,,,,,,,,,,,,,,,
SG-18 STEP-4,50617,40781.26,,,,,,,,,,,,,,,,
SG-18 STEP-5,51166,41151.66,,,,,,,,,,,,,,,,
SG-18 STEP-6,51721,41526.1,,,,,,,,,,,,,,,,
SG-18 STEP-7,52282,41904.59,,,,,,,,,,,,,,,,
SG-18 STEP-8,52851,42288.47,,,,,,,,,,,,,,,,
SG-19 STEP-1,53873,42977.98,,,,,,,,,,,,,,,,
SG-19 STEP-2,54649,43072.27,,,,,,,,,,,,,,,,
SG-19 STEP-3,55437,43566.16,,,,,,,,,,,,,,,,
SG-19 STEP-4,56237,44067.56,,,,,,,,,,,,,,,,
SG-19 STEP-5,57051,44577.99,,,,,,,,,,,,,,,,
SG-19 STEP-6,57878,45096.6,,,,,,,,,,,,,,,,
SG-19 STEP-7,58719,45624.08,,,,,,,,,,,,,,,,
SG-19 STEP-8,59573,46159.83,,,,,,,,,,,,,,,,
SG-20 STEP-1,60157,46512.83,,,,,,,,,,,,,,,,
SG-20 STEP-2,61032,47091.25,,,,,,,,,,,,,,,,
SG-20 STEP-3,61922,47653.96,,,,,,,,,,,,,,,,
SG-20 STEP-4,62827,48226.27,,,,,,,,,,,,,,,,
SG-20 STEP-5,63747,48799.69,,,,,,,,,,,,,,,,
SG-20 STEP-6,64669,49334.08,,,,,,,,,,,,,,,,
SG-21 STEP-1,67005,50747.61,,,,,,,,,,,,,,,,
SG-21 STEP-2,67992,51321.52,,,,,,,,,,,,,,,,
SG-21 STEP-3,68996,51905.43,,,,,,,,,,,,,,,,
SG-21 STEP-4,70016,52528.04,,,,,,,,,,,,,,,,
SG-21 STEP-5,71054,53132.18,,,,,,,,,,,,,,,,
SG-21 STEP-6,72107,53745.31,,,,,,,,,,,,,,,,
SG-21 STEP-8,74231,55024.11,,,,,,,,,,,,,,,,
SG-22 STEP-1,74836,55357.31,,,,,,,,,,,,,,,,
SG-22 STEP-2,75952,56008.05,,,,,,,,,,,,,,,,
SG-22 STEP-3,77086,56669.42,,,,,,,,,,,,,,,,
SG-22 STEP-4,78238,57341.31,,,,,,,,,,,,,,,,
SG-22 STEP-5,79409,58036.34,,,,,,,,,,,,,,,,
SG-22 STEP-6,80562,58707.95,,,,,,,,,,,,,,,,
SG-22 STEP-7,81771,59413.79,,,,,,,,,,,,,,,,
SG-22 STEP-8,82999,60130.87,,,,,,,,,,,,,,,,
SG-24 STEP-1,94132,67009.28,,,,,,,,,,,,,,,,
SG-24 STEP-2,95668,67916.89,,,,,,,,,,,,,,,,
SG-24 STEP-3,97230,68839.99,,,,,,,,,,,,,,,,
SG-24 STEP-4,98817,69741.15,,,,,,,,,,,,,,,,
SG-24 STEP-5,100430,70694.41,,,,,,,,,,,,,,,,
SG-25 STEP-1,107208,74860.06,,,,,,,,,,,,,,,,
SG-25 STEP-2,108958,75897.21,,,,,,,,,,,,,,,,
SG-25 STEP-3,110736,76939.35,,,,,,,,,,,,,,,,
SG-25 STEP-4,112543,77993.12,,,,,,,,,,,,,,,,
SG-25 STEP-6,116247,80153.99,,,,,,,,,,,,,,,,
SG-26 STEP-1,121146,83147.58,,,,,,,,,,,,,,,,
SG-26 STEP-3,125132,85553.61,,,,,,,,,,,,,,,,
SG-26 STEP-4,127174,86749.33,,,,,,,,,,,,,,,,
SG-26 STEP-5,129250,87965.44,,,,,,,,,,,,,,,,
SG-26 STEP-6,131359,89200.91,,,,,,,,,,,,,,,,
SG-26 STEP-7,133503,90457.32,,,,,,,,,,,,,,,,
SG-26 STEP-8,135682,91734.43,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
