SALARY GRADE,BASIC PAY,PERA,GSIS CONTRI 9%,PHIL HEALTH 2.5%,PAGIBIG,2024 WTAX,OLD TAX,NET INCREASE,NEW PNETPAY,,,,,,,,,,,,,,,,
SG-1 STEP-1,13530.00,"2,000.00","1,217.70",338.25,200,0.00,0,0,13774.05,,,,,,,,,,,,,,,,
SG-1 STEP-2,13633.00,"2,000.00","1,226.97",340.83,200,0.00,0,0,13865.20,,,,,,,,,,,,,,,,
SG-1 STEP-3,13748.00,"2,000.00","1,237.32",343.7,200,0.00,0,0,13966.98,,,,,,,,,,,,,,,,
SG-1 STEP-4,13862.00,"2,000.00","1,247.58",346.55,200,0.00,0,0,14067.87,,,,,,,,,,,,,,,,
SG-1 STEP-5,13979.00,"2,000.00","1,258.11",349.48,200,0.00,0,0,14171.41,,,,,,,,,,,,,,,,
SG-1 STEP-6,14095.00,"2,000.00","1,268.55",352.38,200,0.00,0,0,14274.07,,,,,,,,,,,,,,,,
SG-1 STEP-7,14213.00,"2,000.00","1,279.17",355.33,200,0.00,0,0,14378.50,,,,,,,,,,,,,,,,
SG-1 STEP-8,14331.00,"2,000.00","1,289.79",358.28,200,0.00,0,0,14482.93,,,,,,,,,,,,,,,,
SG-2 STEP-3,14593.00,"2,000.00","1,313.37",364.83,200,0.00,0,0,14714.80,,,,,,,,,,,,,,,,
SG-2 STEP-7,15047.00,"2,000.00","1,354.23",376.18,200,0.00,0,0,15116.59,,,,,,,,,,,,,,,,
SG-2 STEP-8,15161.00,"2,000.00","1,364.49",379.03,200,0.00,0,0,15217.48,,,,,,,,,,,,,,,,
SG-3 STEP-1,15265.00,"2,000.00","1,373.85",381.63,200,0.00,0,0,15309.52,,,,,,,,,,,,,,,,
SG-3 STEP-2,15384.00,"2,000.00","1,384.56",384.6,200,0.00,0,0,15414.84,,,,,,,,,,,,,,,,
SG-3 STEP-3,15501.00,"2,000.00","1,395.09",387.53,200,0.00,0,0,15518.38,,,,,,,,,,,,,,,,
SG-3 STEP-4,15621.00,"2,000.00","1,405.89",390.53,200,0.00,0,0,15624.58,,,,,,,,,,,,,,,,
SG-3 STEP-5,15741.00,"2,000.00","1,416.69",393.53,200,0.00,0,0,15730.78,,,,,,,,,,,,,,,,
SG-3 STEP-7,15984.00,"2,000.00","1,438.56",399.6,200,0.00,0,0,15945.84,,,,,,,,,,,,,,,,
SG-3 STEP-8,16105.00,"2,000.00","1,449.45",402.63,200,0.00,0,0,16052.92,,,,,,,,,,,,,,,,
SG-4 STEP-1,16209.00,"2,000.00","1,458.81",405.23,200,0.00,0,0,16144.96,,,,,,,,,,,,,,,,
SG-4 STEP-2,16334.00,"2,000.00","1,470.06",408.35,200,0.00,0,0,16255.59,,,,,,,,,,,,,,,,
SG-4 STEP-3,16460.00,"2,000.00","1,481.40",411.5,200,0.00,0,0,16367.10,,,,,,,,,,,,,,,,
SG-4 STEP-4,16586.00,"2,000.00","1,492.74",414.65,200,0.00,0,0,16478.61,,,,,,,,,,,,,,,,
SG-4 STEP-5,16714.00,"2,000.00","1,504.26",417.85,200,0.00,0,0,16591.89,,,,,,,,,,,,,,,,
SG-4 STEP-6,16841.00,"2,000.00","1,515.69",421.03,200,0.00,0,0,16704.28,,,,,,,,,,,,,,,,
SG-4 STEP-7,16971.00,"2,000.00","1,527.39",424.28,200,0.00,0,0,16819.33,,,,,,,,,,,,,,,,
SG-4 STEP-8,17101.00,"2,000.00","1,539.09",427.53,200,0.00,0,0,16934.38,,,,,,,,,,,,,,,,
SG-6 STEP-1,18255.00,"2,000.00","1,642.95",456.38,200,0.00,0,0,17955.67,,,,,,,,,,,,,,,,
SG-6 STEP-2,18396.00,"2,000.00","1,655.64",459.9,200,0.00,0,0,18080.46,,,,,,,,,,,,,,,,
SG-6 STEP-3,18537.00,"2,000.00","1,668.33",463.43,200,0.00,0,0,18205.24,,,,,,,,,,,,,,,,
SG-6 STEP-8,19261.00,"2,000.00","1,733.49",481.53,200,0.00,0,0,18845.98,,,,,,,,,,,,,,,,
SG-7 STEP-1,19365.00,"2,000.00","1,742.85",484.13,200,0.00,0,0,18938.02,,,,,,,,,,,,,,,,
SG-7 STEP-2,19514.00,"2,000.00","1,756.26",487.85,200,0.00,0,0,19069.89,,,,,,,,,,,,,,,,
SG-7 STEP-3,19663.00,"2,000.00","1,769.67",491.58,200,0.00,0,0,19201.75,,,,,,,,,,,,,,,,
SG-8 STEP-1,20534.00,"2,000.00","1,848.06",513.35,200,0.00,0,0,19972.59,,,,,,,,,,,,,,,,
SG-8 STEP-2,20720.00,"2,000.00","1,864.80",518,200,0.00,0,0,20137.20,,,,,,,,,,,,,,,,
SG-8 STEP-3,20908.00,"2,000.00","1,881.72",522.7,200,0.00,0,0,20303.58,,,,,,,,,,,,,,,,
SG-8 STEP-4,21096.00,"2,000.00","1,898.64",527.4,200,0.00,0,0,20469.96,,,,,,,,,,,,,,,,
SG-8 STEP-5,21287.00,"2,000.00","1,915.83",532.18,200,0.00,0,0,20638.99,,,,,,,,,,,,,,,,
SG-8 STEP-6,21479.00,"2,000.00","1,933.11",536.98,200,0.00,0,0,20808.91,,,,,,,,,,,,,,,,
SG-8 STEP-7,21674.00,"2,000.00","1,950.66",541.85,200,0.00,0,0,20981.49,,,,,,,,,,,,,,,,
SG-8 STEP-8,21870.00,"2,000.00","1,968.30",546.75,200,0.00,0,0,21154.95,,,,,,,,,,,,,,,,
SG-9 STEP-1,22219.00,"2,000.00","1,999.71",555.48,200,0.00,0,0,21463.81,,,,,,,,,,,,,,,,
SG-9 STEP-2,22404.00,"2,000.00","2,016.36",560.1,200,0.00,0,0,21627.54,,,,,,,,,,,,,,,,
SG-9 STEP-3,22591.00,"2,000.00","2,033.19",564.78,200,0.00,0,0,21793.03,,,,,,,,,,,,,,,,
SG-9 STEP-4,22780.00,"2,000.00","2,050.20",569.5,200,0.00,0,0,21960.30,,,,,,,,,,,,,,,,
SG-9 STEP-5,22971.00,"2,000.00","2,067.39",574.28,200,0.00,0,0,22129.33,,,,,,,,,,,,,,,,
SG-9 STEP-6,23162.00,"2,000.00","2,084.58",579.05,200,0.00,0,0,22298.37,,,,,,,,,,,,,,,,
SG-9 STEP-7,23356.00,"2,000.00","2,102.04",583.9,200,0.00,0,0,22470.06,,,,,,,,,,,,,,,,
SG-9 STEP-8,23551.00,"2,000.00","2,119.59",588.78,200,0.00,0,0,22642.63,,,,,,,,,,,,,,,,
SG-10 STEP-1,24381.00,"2,000.00","2,194.29",609.53,200,81.58,0,81.58,23295.60,,,,,,,,,,,,,,,,
SG-10 STEP-2,24585.00,"2,000.00","2,212.65",614.63,200,108.66,0,108.66,23449.06,,,,,,,,,,,,,,,,
SG-10 STEP-3,24790.00,"2,000.00","2,231.10",619.75,200,135.87,0,135.87,23603.28,,,,,,,,,,,,,,,,
SG-11 STEP-1,28512.00,"2,000.00","2,566.08",712.8,200,629.97,429.25,200.72,26403.15,,,,,,,,,,,,,,,,
SG-11 STEP-2,28796.00,"2,000.00","2,591.64",719.9,200,667.67,467,200.67,26616.79,,,,,,,,,,,,,,,,
SG-11 STEP-3,29085.00,"2,000.00","2,617.65",727.13,200,706.03,505.33,200.7,26834.19,,,,,,,,,,,,,,,,
SG-11 STEP-4,29377.00,"2,000.00","2,643.93",734.43,200,744.80,544.08,200.71,27053.84,,,,,,,,,,,,,,,,
SG-11 STEP-5,29673.00,"2,000.00","2,670.57",741.83,200,784.09,583.42,200.67,27276.51,,,,,,,,,,,,,,,,
SG-11 STEP-6,29974.00,"2,000.00","2,697.66",749.35,200,824.05,623.33,200.72,27502.94,,,,,,,,,,,,,,,,
SG-11 STEP-7,30278.00,"2,000.00","2,725.02",756.95,200,864.40,663.75,200.65,27731.63,,,,,,,,,,,,,,,,
SG-11 STEP-8,30587.00,"2,000.00","2,752.83",764.68,200,905.42,704.75,200.67,27964.07,,,,,,,,,,,,,,,,
SG-12 STEP-1,30705.00,"2,000.00","2,763.45",767.63,200,921.09,716.67,204.42,28052.83,,,,,,,,,,,,,,,,
SG-12 STEP-2,30989.00,"2,000.00","2,789.01",774.73,200,958.79,754.42,204.37,28266.47,,,,,,,,,,,,,,,,
SG-12 STEP-3,31277.00,"2,000.00","2,814.93",781.93,200,997.02,792.67,204.36,28483.12,,,,,,,,,,,,,,,,
SG-12 STEP-4,31568.00,"2,000.00","2,841.12",789.2,200,1035.65,831.25,204.4,28702.03,,,,,,,,,,,,,,,,
SG-12 STEP-5,31863.00,"2,000.00","2,867.67",796.58,200,1074.81,870.42,204.4,28923.94,,,,,,,,,,,,,,,,
SG-12 STEP-6,32162.00,"2,000.00","2,894.58",804.05,200,1114.51,910.08,204.42,29148.86,,,,,,,,,,,,,,,,
SG-12 STEP-7,32464.00,"2,000.00","2,921.76",811.6,200,1154.60,950.17,204.43,29376.04,,,,,,,,,,,,,,,,
SG-12 STEP-8,32770.00,"2,000.00","2,949.30",819.25,200,1195.22,990.83,204.38,29606.23,,,,,,,,,,,,,,,,
SG-13 STEP-1,32870.00,"2,000.00","2,958.30",821.75,200,1208.49,"1,002.75",205.74,29681.46,,,,,,,,,,,,,,,,
SG-13 STEP-2,33183.00,"2,000.00","2,986.47",829.58,200,1250.04,"1,044.33",205.71,29916.91,,,,,,,,,,,,,,,,
SG-13 STEP-3,33499.00,"2,000.00","3,014.91",837.48,200,1291.99,"1,086.25",205.74,30154.62,,,,,,,,,,,,,,,,
SG-13 STEP-4,33819.00,"2,000.00","3,043.71",845.48,200,1334.47,"1,128.75",205.72,30395.34,,,,,,,,,,,,,,,,
SG-13 STEP-5,34144.00,"2,000.00","3,072.96",853.6,200,1377.62,"1,171.92",205.7,30639.82,,,,,,,,,,,,,,,,
SG-13 STEP-6,34472.00,"2,000.00","3,102.48",861.8,200,1421.16,"1,215.42",205.74,30886.56,,,,,,,,,,,,,,,,
SG-13 STEP-7,34804.00,"2,000.00","3,132.36",870.1,200,1465.23,"1,259.50",205.73,31136.31,,,,,,,,,,,,,,,,
SG-13 STEP-8,35141.00,"2,000.00","3,162.69",878.53,200,1509.97,"1,304.25",205.72,31389.81,,,,,,,,,,,,,,,,
SG-14 STEP-1,35434.00,"2,000.00","3,189.06",885.85,200,1548.86,"1,337.67",211.2,31610.23,,,,,,,,,,,,,,,,
SG-14 STEP-2,35794.00,"2,000.00","3,221.46",894.85,200,1596.65,"1,383.33",213.32,31881.04,,,,,,,,,,,,,,,,
SG-14 STEP-3,36258.00,"2,000.00","3,263.22",906.45,200,1658.25,"1,429.58",228.67,32230.08,,,,,,,,,,,,,,,,
SG-14 STEP-4,36528.00,"2,000.00","3,287.52",913.2,200,1694.09,"1,476.42",217.68,32433.19,,,,,,,,,,,,,,,,
SG-14 STEP-5,36900.00,"2,000.00","3,321.00",922.5,200,1743.48,"1,523.67",219.81,32713.02,,,,,,,,,,,,,,,,
SG-14 STEP-6,37278.00,"2,000.00","3,355.02",931.95,200,1793.65,"1,571.58",222.07,32997.38,,,,,,,,,,,,,,,,
SG-14 STEP-7,37662.00,"2,000.00","3,389.58",941.55,200,1844.63,"1,620.17",224.46,33286.24,,,,,,,,,,,,,,,,
SG-15 STEP-1,38413.00,"2,000.00","3,457.17",960.33,200,1967.43,"1,706.25",261.18,33828.07,,,,,,,,,,,,,,,,
SG-15 STEP-2,38810.00,"2,000.00","3,492.90",970.25,200,2037.70,"1,756.42",281.29,34109.15,,,,,,,,,,,,,,,,
SG-15 STEP-3,39212.00,"2,000.00","3,529.08",980.3,200,2108.86,"1,807.25",301.61,34393.76,,,,,,,,,,,,,,,,
SG-15 STEP-4,39619.00,"2,000.00","3,565.71",990.48,200,2180.90,"1,858.75",322.15,34681.91,,,,,,,,,,,,,,,,
SG-15 STEP-5,40030.00,"2,000.00","3,602.70","1,000.75",200,2253.64,"1,922.67",330.98,34972.91,,,,,,,,,,,,,,,,
SG-15 STEP-6,40446.00,"2,000.00","3,640.14","1,011.15",200,2327.28,"1,993.00",334.28,35267.43,,,,,,,,,,,,,,,,
SG-15 STEP-8,41296.00,"2,000.00","3,716.64","1,032.40",200,2477.73,"2,136.33",341.39,35869.23,,,,,,,,,,,,,,,,
SG-16 STEP-1,41616.00,"2,000.00","3,745.44","1,040.40",200,2534.37,"2,190.33",344.03,36095.79,,,,,,,,,,,,,,,,
SG-16 STEP-2,42052.00,"2,000.00","3,784.68","1,051.30",200,2611.54,"2,263.92",347.62,36404.48,,,,,,,,,,,,,,,,
SG-16 STEP-3,42494.00,"2,000.00","3,824.46","1,062.35",200,2689.77,"2,338.50",351.27,36717.42,,,,,,,,,,,,,,,,
SG-16 STEP-4,42941.00,"2,000.00","3,864.69","1,073.53",200,2768.89,"2,413.83",355.06,37033.89,,,,,,,,,,,,,,,,
SG-16 STEP-5,43394.00,"2,000.00","3,905.46","1,084.85",200,2849.07,"2,490.33",358.74,37354.62,,,,,,,,,,,,,,,,
SG-16 STEP-6,43852.00,"2,000.00","3,946.68","1,096.30",200,2930.14,"2,567.67",362.47,37678.88,,,,,,,,,,,,,,,,
SG-16 STEP-7,44317.00,"2,000.00","3,988.53","1,107.93",200,3012.44,"2,646.08",366.36,38008.10,,,,,,,,,,,,,,,,
SG-16 STEP-8,44786.00,"2,000.00","4,030.74","1,119.65",200,3095.46,"2,725.25",370.21,38340.15,,,,,,,,,,,,,,,,
SG-17 STEP-1,45138.00,"2,000.00","4,062.42","1,128.45",200,4662.36,"2,784.67","1,877.69",37084.77,,,,,,,,,,,,,,,,
SG-17 STEP-2,45619.00,"2,000.00","4,105.71","1,140.48",200,4763.53,"2,865.75","1,897.78",37409.28,,,,,,,,,,,,,,,,
SG-17 STEP-3,46105.00,"2,000.00","4,149.45","1,152.63",200,4865.75,"2,947.67","1,918.09",37737.17,,,,,,,,,,,,,,,,
SG-17 STEP-4,46597.00,"2,000.00","4,193.73","1,164.93",200,4969.24,"3,030.75","1,938.49",38069.10,,,,,,,,,,,,,,,,
SG-17 STEP-5,47095.00,"2,000.00","4,238.55","1,177.38",200,5073.98,"3,114.75","1,959.23",38405.09,,,,,,,,,,,,,,,,
SG-17 STEP-6,47599.00,"2,000.00","4,283.91","1,189.98",200,5179.99,"4,712.50",467.49,38745.12,,,,,,,,,,,,,,,,
SG-17 STEP-7,48109.00,"2,000.00","4,329.81","1,202.73",200,5287.26,"4,814.67",472.59,39089.20,,,,,,,,,,,,,,,,
SG-17 STEP-8,48626.00,"2,000.00","4,376.34","1,215.65",200,5396.00,"4,918.42",477.59,39438.01,,,,,,,,,,,,,,,,
SG-18 STEP-1,49015.00,"2,000.00","4,411.35","1,225.38",200,5477.82,"4,996.17",481.66,39700.45,,,,,,,,,,,,,,,,
SG-18 STEP-2,49542.00,"2,000.00","4,458.78","1,238.55",200,5588.67,"5,102.00",486.67,40056.00,,,,,,,,,,,,,,,,
SG-18 STEP-3,50077.00,"2,000.00","4,506.93","1,251.93",200,5701.20,"5,209.25",491.95,40416.94,,,,,,,,,,,,,,,,
SG-18 STEP-4,50617.00,"2,000.00","4,555.53","1,265.43",200,5814.78,"5,317.58",497.19,40781.26,,,,,,,,,,,,,,,,
SG-18 STEP-5,51166.00,"2,000.00","4,604.94","1,279.15",200,5930.25,"5,427.58",502.67,41151.66,,,,,,,,,,,,,,,,
SG-18 STEP-6,51721.00,"2,000.00","4,654.89","1,293.03",200,6046.98,"5,538.83",508.15,41526.10,,,,,,,,,,,,,,,,
SG-18 STEP-7,52282.00,"2,000.00","4,705.38","1,307.05",200,6164.98,"5,651.42",513.56,41904.59,,,,,,,,,,,,,,,,
SG-18 STEP-8,52851.00,"2,000.00","4,756.59","1,321.28",200,6284.66,"5,765.42",519.24,42288.47,,,,,,,,,,,,,,,,
SG-19 STEP-1,53873.00,"2,000.00","4,848.57","1,346.83",200,6499.62,"5,970.50",529.12,42977.98,,,,,,,,,,,,,,,,
SG-19 STEP-2,54649.00,"2,000.00","4,918.41","1,366.23",200,6662.84,"6,125.92",536.92,43501.52,,,,,,,,,,,,,,,,
SG-19 STEP-3,55437.00,"2,000.00","4,989.33","1,385.93",200,6828.58,"6,283.83",544.75,44033.16,,,,,,,,,,,,,,,,
SG-19 STEP-4,56237.00,"2,000.00","5,061.33","1,405.93",200,6996.85,"6,444.33",552.52,44572.89,,,,,,,,,,,,,,,,
SG-19 STEP-5,57051.00,"2,000.00","5,134.59","1,426.28",200,7168.06,"6,607.58",560.48,45122.07,,,,,,,,,,,,,,,,
SG-19 STEP-6,57878.00,"2,000.00","5,209.02","1,446.95",200,7342.01,"6,773.33",568.67,45680.02,,,,,,,,,,,,,,,,
SG-19 STEP-7,58719.00,"2,000.00","5,284.71","1,467.98",200,7518.90,"6,942.00",576.9,46247.41,,,,,,,,,,,,,,,,
SG-19 STEP-8,59573.00,"2,000.00","5,361.57","1,489.33",200,7698.52,"7,113.17",585.35,46823.58,,,,,,,,,,,,,,,,
SG-20 STEP-1,60157.00,"2,000.00","5,414.13","1,503.93",200,7821.36,"7,230.33",591.02,47217.58,,,,,,,,,,,,,,,,
SG-20 STEP-2,61032.00,"2,000.00","5,492.88","1,525.80",200,8005.40,"7,405.75",599.65,47807.92,,,,,,,,,,,,,,,,
SG-20 STEP-3,61922.00,"2,000.00","5,572.98","1,548.05",200,8192.59,"7,584.33",608.26,48408.38,,,,,,,,,,,,,,,,
SG-20 STEP-4,62827.00,"2,000.00","5,654.43","1,570.68",200,8382.95,"7,765.67",617.28,49018.94,,,,,,,,,,,,,,,,
SG-20 STEP-5,63747.00,"2,000.00","5,737.23","1,593.68",200,8585.15,"7,950.08",635.07,49630.94,,,,,,,,,,,,,,,,
SG-20 STEP-6,64669.00,"2,000.00","5,820.21","1,616.73",200,8827.56,"8,137.50",690.06,50204.50,,,,,,,,,,,,,,,,
SG-21 STEP-1,67005.00,"2,000.00","6,030.45","1,675.13",200,9441.73,"8,650.92",790.81,51657.69,,,,,,,,,,,,,,,,
SG-21 STEP-2,67992.00,"2,000.00","6,119.28","1,699.80",200,9701.23,"8,898.83",802.4,52271.69,,,,,,,,,,,,,,,,
SG-21 STEP-3,68996.00,"2,000.00","6,209.64","1,724.90",200,9965.20,"9,151.00",814.2,52896.26,,,,,,,,,,,,,,,,
SG-21 STEP-4,70016.00,"2,000.00","6,301.44","1,750.40",200,10233.37,"9,407.08",826.29,53530.79,,,,,,,,,,,,,,,,
SG-21 STEP-5,71054.00,"2,000.00","6,394.86","1,776.35",200,10506.28,"9,667.58",838.7,54176.51,,,,,,,,,,,,,,,,
SG-21 STEP-6,72107.00,"2,000.00","6,489.63","1,802.68",200,10783.13,"9,932.08",851.05,54831.56,,,,,,,,,,,,,,,,
SG-21 STEP-8,74231.00,"2,000.00","6,680.79","1,855.78",200,11341.57,"10,474.50",867.07,56152.86,,,,,,,,,,,,,,,,
SG-22 STEP-1,74836.00,"2,000.00","6,735.24","1,870.90",200,11500.63,"10,626.50",874.13,56529.23,,,,,,,,,,,,,,,,
SG-22 STEP-2,75952.00,"2,000.00","6,835.68","1,898.80",200,11794.05,"10,906.75",887.3,57223.47,,,,,,,,,,,,,,,,
SG-22 STEP-3,77086.00,"2,000.00","6,937.74","1,927.15",200,12092.19,"11,191.75",900.44,57928.92,,,,,,,,,,,,,,,,
SG-22 STEP-4,78238.00,"2,000.00","7,041.42","1,955.95",200,12395.07,"11,481.25",913.82,58645.56,,,,,,,,,,,,,,,,
SG-22 STEP-5,79409.00,"2,000.00","7,146.81","1,985.23",200,12702.95,"11,775.42",927.53,59374.01,,,,,,,,,,,,,,,,
SG-22 STEP-6,80562.00,"2,000.00","7,250.58","2,014.05",200,13006.09,"12,074.58",931.51,60091.28,,,,,,,,,,,,,,,,
SG-22 STEP-7,81771.00,"2,000.00","7,359.39","2,044.28",200,13323.96,"12,378.58",945.38,60843.37,,,,,,,,,,,,,,,,
SG-22 STEP-8,82999.00,"2,000.00","7,469.91","2,074.98",200,13646.82,"12,687.25",959.57,61607.29,,,,,,,,,,,,,,,,
SG-24 STEP-1,94132.00,"2,000.00","8,471.88","2,353.30",200,16573.87,"15,508.08","1,065.79",68532.95,,,,,,,,,,,,,,,,
SG-24 STEP-2,95668.00,"2,000.00","8,610.12","2,391.70",200,16977.71,"15,894.50","1,083.21",69488.47,,,,,,,,,,,,,,,,
SG-24 STEP-3,97230.00,"2,000.00","8,750.70","2,430.75",200,17388.39,"16,287.58","1,100.80",70460.16,,,,,,,,,,,,,,,,
SG-24 STEP-4,98817.00,"2,000.00","8,893.53","2,470.43",200,17805.64,"16,687.00","1,118.64",71447.40,,,,,,,,,,,,,,,,
SG-24 STEP-5,100430.00,"2,000.00","9,038.70","2,510.75",200,18229.72,"17,092.67","1,137.05",72450.83,,,,,,,,,,,,,,,,
SG-25 STEP-1,107208.00,"2,000.00","9,648.72","2,680.20",200,20011.77,"18,823.92","1,187.85",76667.31,,,,,,,,,,,,,,,,
SG-25 STEP-2,108958.00,"2,000.00","9,806.22","2,723.95",200,20471.87,"19,264.58","1,207.29",77755.96,,,,,,,,,,,,,,,,
SG-25 STEP-3,110736.00,"2,000.00","9,966.24","2,768.40",200,20939.34,"19,712.33","1,227.01",78862.02,,,,,,,,,,,,,,,,
SG-25 STEP-4,112543.00,"2,000.00","10,128.87","2,813.58",200,21414.43,"20,167.42","1,247.01",79986.12,,,,,,,,,,,,,,,,
SG-25 STEP-6,116247.00,"2,000.00","10,462.23","2,906.18",200,22388.27,"21,100.25","1,288.02",82290.32,,,,,,,,,,,,,,,,
SG-26 STEP-1,121146.00,"2,000.00","10,903.14","3,028.65",200,23676.30,"22,333.92","1,342.39",85337.91,,,,,,,,,,,,,,,,
SG-26 STEP-3,125132.00,"2,000.00","11,261.88","3,128.30",200,24724.29,"23,337.67","1,386.62",87817.53,,,,,,,,,,,,,,,,
SG-26 STEP-4,127174.00,"2,000.00","11,445.66","3,179.35",200,25261.16,"23,852.00","1,409.16",89087.83,,,,,,,,,,,,,,,,
SG-26 STEP-5,129250.00,"2,000.00","11,632.50","3,231.25",200,25806.98,"24,374.92","1,432.06",90379.27,,,,,,,,,,,,,,,,
SG-26 STEP-6,131359.00,"2,000.00","11,822.31","3,283.98",200,26361.47,"24,906.00","1,455.47",91691.24,,,,,,,,,,,,,,,,
SG-26 STEP-7,133503.00,"2,000.00","12,015.27","3,337.58",200,26925.16,"25,445.75","1,479.41",93024.99,,,,,,,,,,,,,,,,
SG-26 STEP-8,135682.00,"2,000.00","12,211.38","3,392.05",200,27498.06,"25,994.75","1,503.31",94380.51,,,,,,,,,,,,,,,,
